[['Hjelpe gamle damer over veien', 18], ['Gi en klem', 14], ['Narrestreker', 2], ['Gi en gave', 6]]
[['Gi en gave', 11], ['Hjelpe noen', 9], ['Narrestreker', 13], ['Hjelpe gamle damer over veien', 11]]
[['Hjelpe noen', 5], ['Gi en gave', 9], ['Dytte gamle damer ut i veien', 15], ['Narrestreker', 3]]
[['Dytte gamle damer ut i veien', 4], ['Hjelpe noen', 4], ['Mord', 10], ['Tatt med guitar på fest', 1]]
[['Gi en gave', 7], ['Dytte gamle damer ut i veien', 2], ['Hjelpe noen', 3], ['Narrestreker', 1]]
[['Narrestreker', 2], ['Ta siste rest av kaffe uten å lage mer', 12], ['Lure noen', 8], ['Hjelpe noen', 9]]
[['Ta siste rest av kaffe uten å lage mer', 11], ['Hjelpe noen', 19], ['Dytte gamle damer ut i veien', 3], ['Hjelpe gamle damer over veien', 12]]
[['Lure noen', 15], ['Hjelpe gamle damer over veien', 8], ['Narrestreker', 5], ['Gi en gave', 18]]
[['Hjelpe gamle damer over veien', 9], ['Hjelpe noen', 5], ['Gi en klem', 19], ['Ta siste rest av kaffe uten å lage mer', 13]]
[['Narrestreker', 3], ['Hjelpe gamle damer over veien', 7], ['Dytte gamle damer ut i veien', 1], ['Gi en klem', 18]]
[['Hjelpe gamle damer over veien', 15], ['Hjelpe noen', 1], ['Dytte gamle damer ut i veien', 8], ['Gi en gave', 11]]
[['Narrestreker', 2], ['Hjelpe noen', 1], ['Gi en gave', 8], ['Hjelpe gamle damer over veien', 3]]
[['Gi en gave', 3], ['Gi en klem', 7], ['Hjelpe noen', 5], ['Ta siste rest av kaffe uten å lage mer', 14]]
[['Narrestreker', 11], ['Hjelpe noen', 16], ['Hjelpe gamle damer over veien', 18], ['Gi en gave', 6]]
[['Gi en gave', 13], ['Gi en klem', 13], ['Lure noen', 3], ['Hjelpe gamle damer over veien', 18]]
[['Gi en klem', 9], ['Narrestreker', 19], ['Dytte gamle damer ut i veien', 4], ['Hjelpe noen', 7]]
[['Gi en gave', 6], ['Hjelpe noen', 14], ['Lure noen', 7], ['Hjelpe gamle damer over veien', 6]]
[['Gi en klem', 11], ['Narrestreker', 19], ['Hjelpe noen', 17], ['Dytte gamle damer ut i veien', 18]]
[['Hjelpe noen', 5], ['Gi en gave', 8], ['Tatt med guitar på fest', 4], ['Hjelpe gamle damer over veien', 5]]
[['Spilt nickelback', 9], ['Dytte gamle damer ut i veien', 13], ['Gi en gave', 14], ['Gi en klem', 16]]
[['Lure noen', 15], ['Hjelpe noen', 14], ['Gi en gave', 8], ['Gi en klem', 17]]
[['Hjelpe noen', 11], ['Dytte gamle damer ut i veien', 15], ['Gi en gave', 14], ['Narrestreker', 18]]
[['Hjelpe noen', 15], ['Dytte gamle damer ut i veien', 2], ['Hjelpe gamle damer over veien', 17], ['Narrestreker', 3]]
[['Hjelpe noen', 14], ['Hjelpe gamle damer over veien', 2], ['Lure noen', 13], ['Gi en klem', 10]]
[['Gi en gave', 16], ['Gi en klem', 6], ['Hjelpe noen', 14], ['Hjelpe gamle damer over veien', 10]]
[['Hjelpe noen', 5], ['Redde ett liv', 9], ['Gi en gave', 12], ['Hjelpe gamle damer over veien', 18]]
[['Hjelpe noen', 8], ['Hjelpe gamle damer over veien', 2], ['Dytte gamle damer ut i veien', 10], ['Narrestreker', 19]]
[['Gi en klem', 15], ['Gi en gave', 14], ['Narrestreker', 5], ['Hjelpe gamle damer over veien', 16]]
[['Hjelpe noen', 9], ['Ta siste rest av kaffe uten å lage mer', 6], ['Narrestreker', 15], ['Spilt nickelback', 10]]
[['Hjelpe noen', 17], ['Dytte gamle damer ut i veien', 12], ['Hjelpe gamle damer over veien', 1], ['Narrestreker', 15]]
[['Dytte gamle damer ut i veien', 3], ['Gi en gave', 19], ['Narrestreker', 13], ['Lure noen', 2]]
[['Hjelpe noen', 18], ['Gi en gave', 19], ['Dytte gamle damer ut i veien', 6], ['Tatt med guitar på fest', 18]]
[['Hjelpe noen', 10], ['Gi en gave', 13], ['Narrestreker', 11], ['Dytte gamle damer ut i veien', 9]]
[['Mord', 11], ['Hjelpe noen', 6], ['Gi en gave', 4], ['Dytte gamle damer ut i veien', 11]]
[['Hjelpe noen', 7], ['Ta siste rest av kaffe uten å lage mer', 18], ['Gi en klem', 19], ['Hjelpe gamle damer over veien', 10]]
[['Hjelpe gamle damer over veien', 4], ['Gi en gave', 16], ['Lure noen', 8], ['Narrestreker', 1]]
[['Dytte gamle damer ut i veien', 13], ['Narrestreker', 10], ['Hjelpe noen', 12], ['Hjelpe gamle damer over veien', 11]]
[['Narrestreker', 1], ['Gi en klem', 13], ['Lure noen', 10], ['Dytte gamle damer ut i veien', 12]]
[['Hjelpe gamle damer over veien', 6], ['Hjelpe noen', 16], ['Tatt med guitar på fest', 8], ['Narrestreker', 17]]
[['Hjelpe noen', 7], ['Dytte gamle damer ut i veien', 5], ['Gi en klem', 3], ['Gi en gave', 14]]
[['Hjelpe noen', 8], ['Gi en gave', 19], ['Gi en klem', 9], ['Tatt med guitar på fest', 6]]
[['Hjelpe noen', 4], ['Gi en gave', 10], ['Hjelpe gamle damer over veien', 7], ['Tatt med guitar på fest', 17]]
[['Gi en gave', 8], ['Tatt med guitar på fest', 1], ['Hjelpe noen', 5], ['Dytte gamle damer ut i veien', 18]]
[['Hjelpe gamle damer over veien', 14], ['Gi en gave', 5], ['Dytte gamle damer ut i veien', 17], ['Gi en klem', 2]]
[['Hjelpe gamle damer over veien', 5], ['Gi en gave', 6], ['Gi en klem', 8], ['Hjelpe noen', 11]]
[['Dytte gamle damer ut i veien', 2], ['Hjelpe noen', 17], ['Narrestreker', 10], ['Gi en gave', 4]]
[['Gi en gave', 13], ['Dytte gamle damer ut i veien', 2], ['Ta siste rest av kaffe uten å lage mer', 16], ['Hjelpe gamle damer over veien', 5]]
[['Gi en gave', 11], ['Gi en klem', 8], ['Hjelpe gamle damer over veien', 2], ['Lure noen', 19]]
[['Hjelpe gamle damer over veien', 9], ['Gi en gave', 15], ['Ta siste rest av kaffe uten å lage mer', 8], ['Lure noen', 13]]
[['Dytte gamle damer ut i veien', 11], ['Hjelpe noen', 5], ['Gi en gave', 5], ['Ta siste rest av kaffe uten å lage mer', 10]]
[['Ta siste rest av kaffe uten å lage mer', 7], ['Dytte gamle damer ut i veien', 4], ['Hjelpe noen', 10], ['Gi en gave', 12]]
[['Hjelpe noen', 19], ['Ta siste rest av kaffe uten å lage mer', 2], ['Hjelpe gamle damer over veien', 5], ['Gi en gave', 11]]
[['Gi en gave', 9], ['Redde ett liv', 5], ['Lure noen', 5], ['Hjelpe gamle damer over veien', 3]]
[['Gi en klem', 17], ['Dytte gamle damer ut i veien', 18], ['Narrestreker', 12], ['Lure noen', 1]]
[['Hjelpe noen', 6], ['Hjelpe gamle damer over veien', 11], ['Narrestreker', 6], ['Gi en klem', 5]]
[['Hjelpe noen', 11], ['Lure noen', 1], ['Dytte gamle damer ut i veien', 16], ['Hjelpe gamle damer over veien', 10]]
[['Hjelpe gamle damer over veien', 12], ['Dytte gamle damer ut i veien', 11], ['Hjelpe noen', 10], ['Narrestreker', 5]]
[['Lure noen', 19], ['Gi en gave', 10], ['Gi en klem', 1], ['Hjelpe noen', 3]]
[['Ta siste rest av kaffe uten å lage mer', 17], ['Narrestreker', 17], ['Redde ett liv', 13], ['Dytte gamle damer ut i veien', 19]]
[['Hjelpe noen', 6], ['Hjelpe gamle damer over veien', 10], ['Narrestreker', 1], ['Ta siste rest av kaffe uten å lage mer', 17]]
[['Narrestreker', 4], ['Gi en klem', 16], ['Lure noen', 7], ['Hjelpe noen', 12]]
[['Hjelpe gamle damer over veien', 17], ['Narrestreker', 2], ['Gi en klem', 12], ['Hjelpe noen', 1]]
[['Hjelpe noen', 5], ['Gi en klem', 13], ['Narrestreker', 1], ['Lure noen', 17]]
[['Gi en klem', 10], ['Gi en gave', 1], ['Ta siste rest av kaffe uten å lage mer', 1], ['Hjelpe noen', 10]]
[['Gi en klem', 3], ['Narrestreker', 1], ['Dytte gamle damer ut i veien', 13], ['Mord', 1]]
[['Narrestreker', 8], ['Hjelpe noen', 14], ['Gi en gave', 18], ['Gi en klem', 12]]
[['Gi en gave', 16], ['Gi en klem', 10], ['Dytte gamle damer ut i veien', 13], ['Redde ett liv', 15]]
[['Hjelpe noen', 13], ['Gi en gave', 12], ['Dytte gamle damer ut i veien', 15], ['Hjelpe gamle damer over veien', 5]]
[['Dytte gamle damer ut i veien', 10], ['Gi en gave', 11], ['Ta siste rest av kaffe uten å lage mer', 19], ['Gi en klem', 10]]
[['Hjelpe gamle damer over veien', 2], ['Hjelpe noen', 12], ['Gi en klem', 9], ['Dytte gamle damer ut i veien', 10]]
[['Hjelpe noen', 5], ['Gi en gave', 14], ['Tatt med guitar på fest', 1], ['Lure noen', 16]]
[['Gi en gave', 19], ['Hjelpe gamle damer over veien', 19], ['Dytte gamle damer ut i veien', 12], ['Lure noen', 2]]
[['Dytte gamle damer ut i veien', 14], ['Tatt med guitar på fest', 16], ['Ta siste rest av kaffe uten å lage mer', 17], ['Gi en gave', 9]]
[['Hjelpe noen', 10], ['Lure noen', 12], ['Gi en klem', 3], ['Gi en gave', 5]]
[['Dytte gamle damer ut i veien', 19], ['Gi en klem', 9], ['Hjelpe noen', 7], ['Ta siste rest av kaffe uten å lage mer', 5]]
[['Gi en gave', 8], ['Hjelpe noen', 13], ['Gi en klem', 16], ['Hjelpe gamle damer over veien', 19]]
[['Hjelpe noen', 16], ['Narrestreker', 16], ['Ta siste rest av kaffe uten å lage mer', 12], ['Dytte gamle damer ut i veien', 4]]
[['Dytte gamle damer ut i veien', 8], ['Narrestreker', 17], ['Hjelpe gamle damer over veien', 3], ['Gi en gave', 2]]
[['Hjelpe gamle damer over veien', 6], ['Tatt med guitar på fest', 5], ['Hjelpe noen', 15], ['Lure noen', 12]]
[['Dytte gamle damer ut i veien', 12], ['Hjelpe noen', 12], ['Gi en klem', 12], ['Narrestreker', 2]]
[['Ta siste rest av kaffe uten å lage mer', 19], ['Gi en gave', 16], ['Lure noen', 3], ['Dytte gamle damer ut i veien', 2]]
[['Hjelpe noen', 10], ['Gi en klem', 15], ['Mord', 15], ['Narrestreker', 10]]
[['Dytte gamle damer ut i veien', 9], ['Narrestreker', 3], ['Spilt nickelback', 12], ['Lure noen', 12]]
[['Hjelpe noen', 8], ['Narrestreker', 8], ['Dytte gamle damer ut i veien', 2], ['Ta siste rest av kaffe uten å lage mer', 9]]
[['Hjelpe gamle damer over veien', 17], ['Lure noen', 12], ['Gi en klem', 11], ['Hjelpe noen', 13]]
[['Narrestreker', 9], ['Hjelpe noen', 19], ['Ta siste rest av kaffe uten å lage mer', 3], ['Hjelpe gamle damer over veien', 10]]
[['Gi en klem', 15], ['Narrestreker', 13], ['Lure noen', 1], ['Gi en gave', 17]]
[['Gi en klem', 2], ['Gi en gave', 11], ['Mord', 2], ['Lure noen', 17]]
[['Narrestreker', 3], ['Hjelpe gamle damer over veien', 7], ['Gi en gave', 4], ['Dytte gamle damer ut i veien', 18]]
[['Narrestreker', 2], ['Tatt med guitar på fest', 9], ['Gi en gave', 16], ['Hjelpe gamle damer over veien', 8]]
[['Dytte gamle damer ut i veien', 10], ['Hjelpe noen', 11], ['Tatt med guitar på fest', 19], ['Gi en gave', 15]]
[['Hjelpe noen', 3], ['Ta siste rest av kaffe uten å lage mer', 8], ['Hjelpe gamle damer over veien', 10], ['Gi en gave', 7]]
[['Tatt med guitar på fest', 14], ['Narrestreker', 7], ['Hjelpe noen', 8], ['Gi en gave', 16]]
[['Hjelpe noen', 11], ['Lure noen', 8], ['Narrestreker', 17], ['Ta siste rest av kaffe uten å lage mer', 19]]
[['Hjelpe gamle damer over veien', 4], ['Lure noen', 4], ['Dytte gamle damer ut i veien', 4], ['Hjelpe noen', 3]]
[['Hjelpe gamle damer over veien', 1], ['Gi en gave', 7], ['Narrestreker', 15], ['Hjelpe noen', 12]]
[['Narrestreker', 1], ['Gi en gave', 2], ['Gi en klem', 18], ['Tatt med guitar på fest', 3]]
[['Spilt nickelback', 10], ['Narrestreker', 5], ['Gi en gave', 14], ['Hjelpe gamle damer over veien', 1]]
[['Gi en klem', 9], ['Narrestreker', 16], ['Gi en gave', 6], ['Ta siste rest av kaffe uten å lage mer', 15]]
[['Ta siste rest av kaffe uten å lage mer', 14], ['Gi en gave', 10], ['Narrestreker', 14], ['Gi en klem', 16]]
[['Lure noen', 11], ['Tatt med guitar på fest', 10], ['Ta siste rest av kaffe uten å lage mer', 10], ['Hjelpe gamle damer over veien', 11]]
[['Hjelpe noen', 4], ['Gi en gave', 19], ['Gi en klem', 3], ['Hjelpe gamle damer over veien', 7]]
[['Narrestreker', 4], ['Tatt med guitar på fest', 3], ['Hjelpe noen', 6], ['Lure noen', 12]]
[['Narrestreker', 1], ['Gi en gave', 8], ['Lure noen', 14], ['Hjelpe noen', 6]]
[['Gi en gave', 8], ['Dytte gamle damer ut i veien', 11], ['Hjelpe noen', 4], ['Gi en klem', 8]]
[['Gi en gave', 14], ['Dytte gamle damer ut i veien', 1], ['Narrestreker', 7], ['Hjelpe noen', 6]]
[['Hjelpe noen', 6], ['Narrestreker', 4], ['Gi en klem', 6], ['Hjelpe gamle damer over veien', 10]]
[['Hjelpe noen', 13], ['Gi en klem', 17], ['Gi en gave', 19], ['Tatt med guitar på fest', 7]]
[['Hjelpe noen', 14], ['Hjelpe gamle damer over veien', 18], ['Gi en gave', 12], ['Gi en klem', 19]]
[['Narrestreker', 14], ['Gi en klem', 17], ['Hjelpe noen', 18], ['Lure noen', 15]]
[['Narrestreker', 16], ['Gi en klem', 19], ['Dytte gamle damer ut i veien', 6], ['Hjelpe noen', 4]]
[['Dytte gamle damer ut i veien', 15], ['Lure noen', 8], ['Hjelpe noen', 10], ['Narrestreker', 8]]
[['Narrestreker', 18], ['Gi en gave', 16], ['Hjelpe gamle damer over veien', 8], ['Gi en klem', 16]]
[['Narrestreker', 6], ['Spilt nickelback', 19], ['Gi en gave', 4], ['Hjelpe noen', 4]]
[['Dytte gamle damer ut i veien', 17], ['Gi en klem', 8], ['Spilt nickelback', 13], ['Hjelpe gamle damer over veien', 9]]
[['Dytte gamle damer ut i veien', 1], ['Hjelpe noen', 6], ['Spilt nickelback', 9], ['Gi en gave', 15]]
[['Hjelpe noen', 9], ['Hjelpe gamle damer over veien', 13], ['Narrestreker', 10], ['Gi en klem', 18]]
[['Gi en gave', 8], ['Dytte gamle damer ut i veien', 15], ['Gi en klem', 10], ['Hjelpe gamle damer over veien', 19]]
[['Dytte gamle damer ut i veien', 6], ['Gi en gave', 8], ['Narrestreker', 17], ['Hjelpe gamle damer over veien', 3]]
[['Dytte gamle damer ut i veien', 17], ['Hjelpe noen', 8], ['Lure noen', 4], ['Gi en klem', 2]]
[['Gi en gave', 16], ['Dytte gamle damer ut i veien', 1], ['Hjelpe noen', 15], ['Lure noen', 13]]
[['Narrestreker', 17], ['Hjelpe noen', 4], ['Hjelpe gamle damer over veien', 11], ['Lure noen', 7]]
[['Gi en gave', 13], ['Lure noen', 19], ['Hjelpe noen', 7], ['Hjelpe gamle damer over veien', 15]]
[['Narrestreker', 6], ['Gi en klem', 19], ['Hjelpe noen', 6], ['Lure noen', 4]]
[['Hjelpe gamle damer over veien', 5], ['Narrestreker', 12], ['Hjelpe noen', 6], ['Gi en klem', 14]]
[['Hjelpe gamle damer over veien', 2], ['Dytte gamle damer ut i veien', 10], ['Narrestreker', 1], ['Hjelpe noen', 10]]
[['Gi en klem', 9], ['Hjelpe noen', 12], ['Gi en gave', 16], ['Narrestreker', 6]]
[['Hjelpe gamle damer over veien', 1], ['Hjelpe noen', 16], ['Narrestreker', 10], ['Lure noen', 17]]
[['Hjelpe gamle damer over veien', 11], ['Gi en gave', 1], ['Gi en klem', 15], ['Hjelpe noen', 12]]
[['Hjelpe noen', 16], ['Gi en klem', 16], ['Hjelpe gamle damer over veien', 11], ['Gi en gave', 19]]
[['Gi en gave', 19], ['Narrestreker', 12], ['Hjelpe noen', 4], ['Lure noen', 2]]
[['Gi en gave', 16], ['Redde ett liv', 17], ['Narrestreker', 13], ['Hjelpe noen', 9]]
[['Hjelpe gamle damer over veien', 9], ['Gi en klem', 12], ['Dytte gamle damer ut i veien', 15], ['Gi en gave', 9]]
[['Dytte gamle damer ut i veien', 12], ['Narrestreker', 6], ['Gi en gave', 4], ['Gi en klem', 4]]
[['Lure noen', 7], ['Narrestreker', 7], ['Gi en gave', 6], ['Tatt med guitar på fest', 13]]
[['Tatt med guitar på fest', 1], ['Hjelpe noen', 13], ['Gi en klem', 7], ['Narrestreker', 19]]
[['Dytte gamle damer ut i veien', 10], ['Hjelpe noen', 15], ['Gi en gave', 4], ['Narrestreker', 6]]
[['Hjelpe noen', 17], ['Hjelpe gamle damer over veien', 15], ['Ta siste rest av kaffe uten å lage mer', 11], ['Gi en gave', 4]]
[['Hjelpe noen', 2], ['Lure noen', 12], ['Gi en gave', 10], ['Gi en klem', 17]]
[['Hjelpe gamle damer over veien', 6], ['Gi en gave', 3], ['Mord', 7], ['Hjelpe noen', 3]]
[['Gi en klem', 1], ['Hjelpe noen', 6], ['Narrestreker', 17], ['Gi en gave', 17]]
[['Hjelpe gamle damer over veien', 3], ['Dytte gamle damer ut i veien', 19], ['Narrestreker', 9], ['Gi en gave', 13]]
[['Gi en klem', 17], ['Narrestreker', 13], ['Lure noen', 17], ['Hjelpe noen', 13]]
[['Spilt nickelback', 14], ['Ta siste rest av kaffe uten å lage mer', 13], ['Gi en gave', 11], ['Dytte gamle damer ut i veien', 13]]
[['Spilt nickelback', 16], ['Narrestreker', 10], ['Lure noen', 12], ['Hjelpe gamle damer over veien', 11]]
[['Hjelpe noen', 6], ['Gi en gave', 1], ['Narrestreker', 14], ['Lure noen', 4]]
[['Gi en gave', 17], ['Hjelpe gamle damer over veien', 19], ['Hjelpe noen', 3], ['Dytte gamle damer ut i veien', 10]]
[['Hjelpe gamle damer over veien', 18], ['Gi en gave', 9], ['Ta siste rest av kaffe uten å lage mer', 9], ['Dytte gamle damer ut i veien', 15]]
